Cases,8
Deaths,5
Cases,2
Cases,5
Deaths,6
Treated,2
Treated,2
Cases,4
Deaths,4
Cases,3
Cases,3
Cases,2
Deaths,5
Cases,3
Cases,3
Treated,5
Treated,4
Cases,1
Treated,1
Cases,8
Cases,2
Cases,10
Treated,20
Cases,9
Cases,9
Deaths,12
Cases,3
Cases,9
Treated,9
Deaths,9
Cases,10
Deaths,4
Deaths,3
Treated,1
Cases,2
Treated,2
Treated,2
Cases,8
Treated,2
Cases,2
Deaths,5
Treated,3
Cases,10
Cases,7
Deaths,11
Cases,3
Treated,8
Treated,1
Cases,9
Cases,3
Cases,1
Treated,10
Deaths,1
Treated,2
Cases,1
Treated,1
Cases,9
Cases,6
Deaths,11
Deaths,2
Cases,1
Treated,3
Cases,5
Cases,1
Cases,6
Deaths,8
Deaths,2
Cases,2
Cases,2
Cases,3
Treated,2
Treated,6
Treated,1
Cases,7
Cases,1
Cases,1
Cases,4
Treated,4
Deaths,7
Deaths,2
Cases,7
Cases,1
Treated,7
Treated,1
Cases,5
Cases,1
Treated,4
Deaths,2
Cases,10
Deaths,10
Cases,2
Treated,1
Cases,1
Cases,1
Cases,1
Treated,3
Treated,1
Cases,3
Cases,3
Treated,4
